TSPYL5(AL080059),ALDH4A1(NM_003748),MMP9(NM_004994),WISP1(NM_003882),SERF1A(AF073519),TGFβ3(NM_003239),SMIM5(Contig24252_RC),HRASLS1(NM_020386),ECI2(NM_006117),DTL(NM_016448),Contig63649_RC,Contig46218_RC,NM_016359,AA555029_RC,Contig38288_RC,NM_003862,Contig28552_RC,Contig32125_RC,U82987,AL137718,AB037863,NM_020188,NM_020974,NM_000127,NM_002019,NM_002073,NM_000436,Contig55377_RC,Contig35251_RC,Contig25991,NM_003875,NM_006101,NM_003607,AF052162,NM_000849,Contig32185_RC,NM_016577,Contig48328_RC,Contig46223_RC,NM_015984,AK000745,Contig40831_RC,NM_014791,X05610,NM_018401,NM_000788,Contig51464_RC,AL080079,NM_006931,AF257175,NM_014321,NM_002916,Contig55725_RC,AF201951,NM_005915,NM_001282,Contig56457_RC,NM_000599,NM_014889,AF055033,NM_006681,NM_007203,Contig63102_RC,NM_003981,Contig20217_RC,NM_001809,Contig2399_RC,NM_004702,NM_007036,NM_018354,class
8.0,13.0,3.0,7.0,5.0,10.0,0.0,6.0,10.0,12.0,6.0,6.0,9.0,5.0,8.0,5.0,6.0,2.0,7.0,7.0,11.0,9.0,7.0,3.0,10.0,6.0,8.0,11.0,2.0,5.0,7.0,6.0,12.0,9.0,13.0,5.0,5.0,3.0,9.0,9.0,7.0,7.0,9.0,9.0,10.0,8.0,8.0,4.0,4.0,11.0,9.0,6.0,5.0,4.0,9.0,9.0,9.0,3.0,7.0,4.0,5.0,9.0,5.0,7.0,3.0,8.0,7.0,7.0,10.0,3.0,1
4.0,6.0,6.0,7.0,4.0,10.0,3.0,7.0,8.0,4.0,4.0,3.0,2.0,6.0,6.0,7.0,3.0,7.0,9.0,4.0,9.0,4.0,9.0,7.0,10.0,4.0,4.0,9.0,6.0,2.0,4.0,7.0,10.0,8.0,8.0,4.0,5.0,5.0,9.0,7.0,5.0,2.0,5.0,9.0,8.0,7.0,5.0,7.0,5.0,7.0,1.0,3.0,3.0,3.0,4.0,9.0,5.0,4.0,6.0,4.0,6.0,8.0,8.0,4.0,3.0,2.0,9.0,3.0,7.0,3.0,0
9.0,5.0,9.0,5.0,7.0,9.0,5.0,7.0,9.0,8.0,4.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,6.0,7.0,5.0,11.0,6.0,11.0,5.0,6.0,10.0,8.0,2.0,4.0,7.0,9.0,9.0,8.0,5.0,4.0,4.0,8.0,10.0,7.0,4.0,8.0,8.0,7.0,6.0,4.0,8.0,7.0,8.0,7.0,4.0,6.0,5.0,8.0,9.0,7.0,4.0,5.0,4.0,8.0,9.0,11.0,7.0,4.0,6.0,7.0,6.0,7.0,1.0,1
11.0,3.0,3.0,5.0,11.0,1.0,7.0,10.0,2.0,9.0,7.0,12.0,10.0,8.0,11.0,3.0,13.0,4.0,8.0,12.0,2.0,8.0,1.0,9.0,5.0,3.0,7.0,3.0,8.0,9.0,9.0,11.0,11.0,7.0,0.0,9.0,3.0,2.0,4.0,14.0,10.0,10.0,13.0,6.0,4.0,7.0,8.0,6.0,7.0,1.0,10.0,12.0,10.0,7.0,11.0,7.0,10.0,3.0,11.0,4.0,7.0,11.0,12.0,10.0,6.0,10.0,7.0,11.0,6.0,4.0,1
5.0,5.0,6.0,8.0,3.0,8.0,2.0,4.0,8.0,10.0,10.0,7.0,9.0,3.0,7.0,6.0,7.0,5.0,7.0,8.0,4.0,7.0,3.0,4.0,10.0,4.0,5.0,4.0,5.0,7.0,10.0,8.0,7.0,9.0,1.0,4.0,8.0,2.0,5.0,9.0,6.0,5.0,9.0,8.0,4.0,6.0,4.0,7.0,10.0,9.0,9.0,7.0,6.0,5.0,10.0,7.0,9.0,6.0,9.0,6.0,9.0,7.0,7.0,8.0,2.0,6.0,5.0,8.0,10.0,5.0,1
11.0,5.0,3.0,9.0,2.0,12.0,2.0,8.0,6.0,5.0,4.0,4.0,4.0,6.0,5.0,9.0,3.0,9.0,9.0,3.0,10.0,4.0,13.0,9.0,7.0,5.0,5.0,9.0,4.0,3.0,5.0,6.0,6.0,11.0,7.0,3.0,4.0,10.0,8.0,3.0,4.0,3.0,7.0,6.0,10.0,5.0,7.0,2.0,6.0,5.0,3.0,5.0,2.0,5.0,6.0,8.0,6.0,5.0,5.0,5.0,5.0,7.0,10.0,5.0,3.0,4.0,3.0,2.0,5.0,2.0,0
6.0,6.0,8.0,10.0,2.0,11.0,2.0,7.0,10.0,7.0,5.0,6.0,7.0,9.0,6.0,9.0,5.0,6.0,9.0,5.0,8.0,4.0,8.0,9.0,10.0,4.0,4.0,6.0,6.0,9.0,8.0,6.0,11.0,5.0,7.0,6.0,4.0,4.0,6.0,7.0,5.0,5.0,6.0,9.0,6.0,5.0,4.0,4.0,9.0,10.0,4.0,3.0,1.0,11.0,5.0,4.0,8.0,6.0,4.0,6.0,6.0,10.0,5.0,6.0,5.0,5.0,7.0,7.0,9.0,2.0,0
7.0,10.0,4.0,9.0,2.0,9.0,3.0,5.0,9.0,8.0,6.0,4.0,6.0,8.0,4.0,7.0,4.0,10.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,9.0,3.0,8.0,7.0,5.0,8.0,6.0,3.0,10.0,10.0,5.0,4.0,6.0,10.0,4.0,5.0,6.0,7.0,5.0,5.0,5.0,7.0,7.0,5.0,8.0,5.0,6.0,4.0,5.0,7.0,7.0,4.0,3.0,3.0,3.0,5.0,6.0,11.0,7.0,3.0,7.0,5.0,6.0,5.0,2.0,0
8.0,4.0,2.0,6.0,3.0,8.0,1.0,8.0,8.0,6.0,4.0,5.0,7.0,8.0,3.0,7.0,4.0,5.0,8.0,5.0,4.0,4.0,8.0,6.0,10.0,7.0,4.0,8.0,6.0,3.0,6.0,7.0,11.0,7.0,5.0,5.0,3.0,3.0,10.0,9.0,9.0,5.0,7.0,6.0,5.0,5.0,5.0,3.0,3.0,8.0,2.0,4.0,2.0,3.0,5.0,8.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,7.0,4.0,4.0,11.0,5.0,10.0,1.0,0
2.0,4.0,7.0,6.0,7.0,7.0,11.0,9.0,5.0,8.0,5.0,8.0,9.0,13.0,8.0,5.0,7.0,6.0,5.0,8.0,4.0,6.0,2.0,13.0,12.0,5.0,7.0,4.0,10.0,7.0,7.0,9.0,10.0,9.0,5.0,7.0,10.0,4.0,6.0,11.0,8.0,10.0,11.0,8.0,4.0,10.0,5.0,8.0,7.0,4.0,7.0,6.0,9.0,4.0,8.0,4.0,8.0,4.0,6.0,4.0,9.0,10.0,11.0,10.0,7.0,9.0,9.0,7.0,6.0,4.0,1
8.0,7.0,9.0,8.0,3.0,9.0,5.0,6.0,11.0,5.0,3.0,5.0,5.0,6.0,5.0,9.0,3.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,9.0,4.0,5.0,10.0,5.0,3.0,5.0,6.0,5.0,5.0,8.0,5.0,3.0,6.0,5.0,9.0,8.0,9.0,5.0,7.0,4.0,7.0,6.0,8.0,8.0,11.0,5.0,4.0,7.0,7.0,7.0,9.0,4.0,7.0,3.0,6.0,5.0,10.0,6.0,10.0,6.0,4.0,6.0,4.0,7.0,1.0,1
7.0,6.0,5.0,7.0,13.0,3.0,5.0,3.0,5.0,10.0,0.0,6.0,9.0,7.0,10.0,0.0,8.0,1.0,5.0,3.0,0.0,6.0,0.0,13.0,4.0,6.0,8.0,5.0,4.0,7.0,10.0,13.0,8.0,7.0,0.0,9.0,0.0,1.0,2.0,12.0,6.0,2.0,13.0,10.0,6.0,7.0,5.0,9.0,7.0,2.0,6.0,5.0,7.0,7.0,10.0,2.0,10.0,1.0,5.0,3.0,7.0,10.0,14.0,10.0,3.0,7.0,14.0,6.0,2.0,5.0,1
6.0,4.0,4.0,3.0,2.0,4.0,2.0,0.0,9.0,4.0,1.0,2.0,6.0,4.0,5.0,5.0,4.0,7.0,8.0,6.0,4.0,3.0,3.0,3.0,13.0,9.0,5.0,9.0,6.0,6.0,4.0,6.0,8.0,7.0,0.0,3.0,1.0,3.0,4.0,6.0,5.0,2.0,5.0,10.0,14.0,4.0,8.0,0.0,3.0,9.0,1.0,3.0,0.0,4.0,3.0,8.0,2.0,3.0,6.0,4.0,5.0,6.0,10.0,6.0,4.0,3.0,7.0,2.0,10.0,3.0,0
9.0,4.0,6.0,5.0,4.0,7.0,0.0,3.0,7.0,8.0,1.0,6.0,10.0,8.0,5.0,14.0,5.0,6.0,7.0,6.0,8.0,5.0,6.0,5.0,8.0,8.0,5.0,13.0,2.0,5.0,7.0,8.0,8.0,9.0,5.0,5.0,1.0,2.0,10.0,8.0,8.0,3.0,7.0,5.0,3.0,8.0,8.0,2.0,3.0,6.0,4.0,7.0,3.0,2.0,8.0,10.0,5.0,1.0,5.0,2.0,8.0,6.0,13.0,9.0,4.0,6.0,6.0,5.0,9.0,2.0,0
11.0,10.0,7.0,6.0,5.0,6.0,8.0,9.0,9.0,5.0,9.0,8.0,8.0,10.0,8.0,4.0,8.0,3.0,8.0,10.0,6.0,8.0,3.0,7.0,11.0,5.0,6.0,4.0,12.0,8.0,9.0,5.0,10.0,10.0,5.0,6.0,5.0,3.0,4.0,9.0,11.0,12.0,10.0,9.0,5.0,9.0,4.0,6.0,8.0,8.0,4.0,7.0,5.0,5.0,8.0,6.0,7.0,13.0,6.0,13.0,10.0,10.0,2.0,9.0,7.0,8.0,6.0,9.0,9.0,6.0,1
10.0,12.0,2.0,2.0,2.0,6.0,0.0,7.0,6.0,7.0,3.0,7.0,8.0,6.0,7.0,3.0,5.0,11.0,8.0,6.0,7.0,6.0,6.0,4.0,14.0,8.0,6.0,12.0,2.0,5.0,3.0,4.0,9.0,9.0,8.0,6.0,2.0,2.0,4.0,6.0,6.0,9.0,7.0,6.0,5.0,8.0,9.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,14.0,3.0,2.0,5.0,2.0,6.0,6.0,8.0,10.0,3.0,6.0,7.0,4.0,10.0,5.0,0
9.0,6.0,6.0,2.0,3.0,5.0,13.0,4.0,8.0,7.0,8.0,4.0,7.0,7.0,6.0,5.0,6.0,5.0,0.0,6.0,6.0,6.0,4.0,5.0,9.0,5.0,7.0,5.0,8.0,5.0,2.0,11.0,3.0,10.0,4.0,8.0,7.0,3.0,6.0,7.0,6.0,8.0,5.0,8.0,8.0,11.0,2.0,10.0,8.0,5.0,10.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,6.0,4.0,3.0,9.0,4.0,8.0,10.0,5.0,8.0,7.0,4.0,7.0,1
2.0,4.0,7.0,4.0,9.0,7.0,3.0,5.0,9.0,11.0,6.0,10.0,11.0,9.0,5.0,3.0,10.0,6.0,10.0,9.0,8.0,9.0,4.0,6.0,8.0,4.0,6.0,7.0,5.0,8.0,8.0,11.0,3.0,6.0,4.0,3.0,2.0,1.0,9.0,7.0,9.0,8.0,12.0,8.0,9.0,7.0,7.0,3.0,9.0,9.0,9.0,7.0,8.0,3.0,8.0,8.0,5.0,5.0,4.0,5.0,7.0,5.0,7.0,11.0,5.0,8.0,4.0,10.0,9.0,4.0,1
8.0,3.0,6.0,9.0,5.0,8.0,2.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,4.0,8.0,6.0,6.0,8.0,7.0,5.0,6.0,8.0,7.0,8.0,6.0,6.0,7.0,8.0,7.0,9.0,7.0,9.0,5.0,3.0,9.0,4.0,4.0,5.0,12.0,7.0,3.0,8.0,5.0,4.0,8.0,6.0,6.0,8.0,7.0,7.0,5.0,5.0,8.0,6.0,7.0,6.0,9.0,7.0,9.0,6.0,9.0,8.0,8.0,4.0,4.0,8.0,5.0,9.0,1.0,1
9.0,7.0,14.0,14.0,4.0,9.0,0.0,8.0,9.0,6.0,9.0,3.0,4.0,4.0,7.0,8.0,8.0,5.0,8.0,6.0,13.0,6.0,8.0,13.0,7.0,8.0,1.0,4.0,9.0,6.0,4.0,11.0,7.0,8.0,5.0,6.0,9.0,10.0,10.0,5.0,4.0,3.0,6.0,9.0,6.0,1.0,6.0,6.0,9.0,8.0,4.0,2.0,1.0,2.0,4.0,7.0,8.0,10.0,6.0,10.0,3.0,6.0,9.0,8.0,7.0,5.0,5.0,8.0,5.0,1.0,1
6.0,6.0,4.0,6.0,4.0,8.0,3.0,6.0,9.0,5.0,5.0,3.0,4.0,6.0,3.0,5.0,2.0,9.0,8.0,3.0,9.0,4.0,11.0,4.0,8.0,3.0,4.0,10.0,2.0,1.0,5.0,3.0,8.0,7.0,7.0,4.0,2.0,10.0,9.0,8.0,7.0,4.0,5.0,7.0,8.0,8.0,5.0,6.0,5.0,10.0,1.0,4.0,2.0,4.0,5.0,10.0,6.0,1.0,5.0,2.0,5.0,7.0,6.0,3.0,3.0,2.0,9.0,2.0,7.0,1.0,0
5.0,9.0,12.0,8.0,2.0,9.0,1.0,7.0,10.0,7.0,4.0,4.0,7.0,6.0,5.0,9.0,5.0,8.0,10.0,6.0,7.0,5.0,11.0,6.0,7.0,4.0,4.0,10.0,5.0,2.0,6.0,6.0,7.0,9.0,8.0,4.0,4.0,6.0,11.0,6.0,6.0,4.0,7.0,8.0,9.0,6.0,7.0,4.0,7.0,10.0,4.0,4.0,4.0,7.0,5.0,8.0,5.0,4.0,7.0,4.0,4.0,7.0,5.0,7.0,4.0,4.0,6.0,4.0,6.0,2.0,0
7.0,8.0,4.0,8.0,4.0,11.0,3.0,8.0,9.0,9.0,7.0,5.0,6.0,6.0,4.0,8.0,5.0,6.0,9.0,6.0,13.0,5.0,10.0,5.0,6.0,5.0,2.0,10.0,4.0,2.0,7.0,7.0,7.0,8.0,9.0,5.0,4.0,9.0,11.0,8.0,7.0,5.0,8.0,8.0,6.0,8.0,7.0,6.0,5.0,9.0,3.0,4.0,5.0,7.0,7.0,9.0,7.0,3.0,7.0,3.0,6.0,8.0,9.0,7.0,4.0,5.0,6.0,5.0,6.0,2.0,0
5.0,7.0,2.0,10.0,4.0,8.0,1.0,8.0,8.0,5.0,3.0,6.0,7.0,4.0,3.0,7.0,6.0,9.0,8.0,7.0,5.0,5.0,8.0,5.0,10.0,6.0,3.0,11.0,3.0,5.0,4.0,7.0,7.0,6.0,8.0,5.0,2.0,6.0,10.0,7.0,7.0,6.0,7.0,8.0,6.0,5.0,4.0,2.0,2.0,8.0,3.0,5.0,1.0,2.0,3.0,11.0,3.0,4.0,3.0,4.0,3.0,4.0,8.0,6.0,5.0,4.0,4.0,5.0,9.0,3.0,0
12.0,7.0,6.0,9.0,5.0,6.0,8.0,7.0,5.0,11.0,7.0,7.0,9.0,5.0,6.0,7.0,7.0,8.0,9.0,6.0,9.0,6.0,3.0,11.0,7.0,10.0,11.0,5.0,6.0,6.0,9.0,10.0,10.0,11.0,12.0,10.0,11.0,2.0,6.0,10.0,6.0,6.0,10.0,8.0,8.0,9.0,7.0,8.0,6.0,5.0,8.0,7.0,6.0,4.0,11.0,12.0,5.0,7.0,3.0,7.0,10.0,9.0,10.0,12.0,8.0,9.0,4.0,12.0,7.0,3.0,1
3.0,5.0,2.0,5.0,3.0,7.0,0.0,5.0,9.0,11.0,2.0,8.0,10.0,5.0,2.0,8.0,8.0,6.0,10.0,8.0,3.0,7.0,5.0,1.0,6.0,8.0,7.0,12.0,3.0,6.0,6.0,8.0,7.0,6.0,6.0,4.0,2.0,2.0,6.0,8.0,5.0,4.0,8.0,6.0,8.0,9.0,9.0,2.0,2.0,8.0,7.0,6.0,4.0,7.0,8.0,8.0,6.0,2.0,6.0,2.0,5.0,7.0,7.0,10.0,5.0,7.0,10.0,6.0,5.0,1.0,0
4.0,11.0,3.0,7.0,5.0,11.0,4.0,9.0,10.0,6.0,7.0,6.0,7.0,7.0,3.0,8.0,5.0,8.0,9.0,6.0,7.0,5.0,10.0,8.0,8.0,6.0,6.0,9.0,6.0,5.0,6.0,8.0,8.0,6.0,7.0,5.0,5.0,9.0,10.0,6.0,8.0,7.0,7.0,8.0,8.0,4.0,5.0,8.0,8.0,10.0,3.0,5.0,4.0,9.0,8.0,7.0,3.0,3.0,5.0,2.0,3.0,8.0,6.0,8.0,4.0,4.0,5.0,8.0,9.0,1.0,0
4.0,8.0,2.0,7.0,4.0,10.0,0.0,6.0,11.0,6.0,5.0,5.0,6.0,7.0,5.0,7.0,5.0,7.0,5.0,5.0,7.0,5.0,13.0,5.0,8.0,5.0,4.0,10.0,5.0,4.0,4.0,8.0,7.0,7.0,6.0,5.0,2.0,11.0,9.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,4.0,5.0,5.0,10.0,2.0,4.0,3.0,6.0,6.0,8.0,3.0,3.0,5.0,3.0,9.0,8.0,9.0,6.0,5.0,4.0,4.0,4.0,3.0,0.0,0
8.0,3.0,6.0,7.0,7.0,6.0,6.0,8.0,8.0,9.0,4.0,8.0,9.0,6.0,10.0,4.0,9.0,8.0,3.0,10.0,4.0,8.0,7.0,8.0,5.0,5.0,1.0,3.0,6.0,7.0,14.0,11.0,9.0,6.0,3.0,7.0,7.0,9.0,6.0,11.0,14.0,9.0,10.0,7.0,8.0,13.0,6.0,9.0,7.0,7.0,8.0,5.0,10.0,5.0,10.0,5.0,7.0,4.0,7.0,5.0,11.0,8.0,9.0,10.0,11.0,10.0,2.0,9.0,7.0,3.0,1
12.0,8.0,3.0,4.0,6.0,5.0,9.0,8.0,9.0,9.0,3.0,7.0,8.0,8.0,7.0,5.0,6.0,5.0,4.0,7.0,4.0,8.0,6.0,5.0,5.0,4.0,2.0,8.0,9.0,3.0,10.0,7.0,6.0,7.0,6.0,5.0,11.0,1.0,6.0,8.0,10.0,9.0,9.0,5.0,5.0,10.0,6.0,6.0,5.0,8.0,11.0,6.0,4.0,6.0,8.0,7.0,7.0,7.0,12.0,7.0,9.0,4.0,10.0,11.0,7.0,10.0,5.0,7.0,3.0,4.0,1
13.0,1.0,9.0,7.0,8.0,2.0,10.0,10.0,4.0,8.0,6.0,8.0,9.0,4.0,9.0,4.0,7.0,6.0,5.0,9.0,3.0,10.0,1.0,8.0,11.0,8.0,8.0,1.0,10.0,6.0,8.0,10.0,10.0,4.0,2.0,8.0,7.0,2.0,4.0,8.0,10.0,7.0,11.0,11.0,4.0,10.0,13.0,8.0,11.0,3.0,13.0,6.0,12.0,7.0,9.0,3.0,9.0,3.0,6.0,3.0,12.0,10.0,2.0,10.0,8.0,12.0,11.0,8.0,10.0,7.0,1
11.0,3.0,6.0,4.0,7.0,3.0,5.0,8.0,6.0,11.0,12.0,6.0,10.0,8.0,8.0,4.0,7.0,13.0,4.0,8.0,7.0,8.0,7.0,5.0,7.0,6.0,10.0,5.0,4.0,8.0,9.0,9.0,7.0,8.0,5.0,11.0,1.0,8.0,4.0,7.0,11.0,7.0,11.0,5.0,3.0,13.0,5.0,7.0,5.0,5.0,9.0,9.0,8.0,3.0,10.0,7.0,7.0,1.0,4.0,2.0,12.0,6.0,5.0,9.0,11.0,9.0,6.0,14.0,6.0,12.0,1
11.0,11.0,5.0,2.0,5.0,5.0,6.0,4.0,5.0,9.0,6.0,8.0,10.0,2.0,7.0,2.0,8.0,3.0,6.0,9.0,6.0,9.0,8.0,6.0,10.0,6.0,5.0,8.0,2.0,11.0,8.0,4.0,10.0,5.0,3.0,8.0,11.0,1.0,5.0,5.0,11.0,11.0,8.0,8.0,4.0,12.0,8.0,1.0,3.0,4.0,10.0,5.0,2.0,0.0,6.0,5.0,4.0,2.0,4.0,2.0,1.0,5.0,7.0,9.0,8.0,10.0,3.0,9.0,9.0,7.0,1
6.0,6.0,3.0,7.0,5.0,8.0,1.0,7.0,10.0,9.0,5.0,4.0,6.0,5.0,4.0,8.0,4.0,7.0,6.0,5.0,7.0,5.0,8.0,4.0,10.0,6.0,5.0,10.0,3.0,4.0,6.0,4.0,12.0,6.0,6.0,6.0,2.0,10.0,9.0,10.0,7.0,3.0,7.0,6.0,7.0,9.0,5.0,6.0,5.0,10.0,3.0,5.0,6.0,5.0,6.0,9.0,5.0,2.0,6.0,3.0,7.0,8.0,6.0,5.0,4.0,3.0,8.0,4.0,6.0,1.0,0
1.0,5.0,2.0,2.0,6.0,1.0,1.0,7.0,11.0,13.0,9.0,9.0,11.0,1.0,2.0,0.0,9.0,7.0,11.0,10.0,4.0,7.0,5.0,0.0,5.0,2.0,5.0,6.0,1.0,10.0,10.0,9.0,14.0,9.0,2.0,6.0,2.0,4.0,7.0,13.0,9.0,2.0,9.0,3.0,6.0,10.0,5.0,8.0,0.0,12.0,6.0,8.0,9.0,4.0,10.0,6.0,3.0,0.0,8.0,0.0,11.0,1.0,2.0,10.0,5.0,8.0,10.0,8.0,8.0,1.0,1
